"","client","sub","total","year","catcode"
"2892","Lannett Co","Lannett Co",0,"2011","H4400"
"2893","Lifespan","Lifespan",30000,"2008","H4100"
"2894","Luminex Corp","Luminex Corp",80000,"2013","H4500"
"2895","Lundbeck Inc","Lundbeck Inc",335000,"2013","H4300"
"2896","Ovation Pharmaceuticals","Ovation Pharmaceuticals",50000,"2008","H4300"
"2897","Lytex Biopharma AS","Lytex Biopharma AS",20000,"2009","H4300"
"2898","Endocare Inc","Endocare Inc",0,"2007","H4100"
"2899","Infinia Corp","Infinia Corp",2e+05,"2009","H4100"
"2900","InstantLabs Medical Device Corp","InstantLabs Medical Device Corp",60000,"2008","H4500"
"2901","Lifecell Corp","Lifecell Corp",120000,"2007","H4100"
"2902","Masimo Corp","Masimo Corp",80000,"2015","H4100"
"2903","Matritech","Matritech",90000,"2009","H4500"
"2904","Medicago","Medicago",30000,"2014","H4500"
"2905","Medical Device Competitiveness Coalition","Medical Device Competitiveness Coalition",40000,"2012","H4100"
"2906","Medical Device Competitiveness Coalition","Medical Device Competitiveness Coalition",270000,"2013","H4100"
"2907","Medicines for Malaria Venture","Medicines for Malaria Venture",120000,"2010","H4400"
"2908","MedImpact Healthcare Systems Inc","MedImpact Healthcare Systems Inc",40000,"2007","H4000"
"2909","Constellation Technology","Constellation Technology",40000,"2010","H4100"
"2910","IOGEN Corp","IOGEN Corp",40000,"2003","H4500"
"2911","IOGEN Corp","IOGEN Corp",160000,"2012","H4500"
"2912","IOGEN Corp","IOGEN Corp",40000,"2013","H4500"
"2913","International Pharm Aerosol Consortium","International Pharm Aerosol Consortium",0,"2002","H4300"
"2914","International Pharm Aerosol Consortium","International Pharm Aerosol Consortium",60000,"2012","H4300"
"2915","International Pharm Aerosol Consortium","International Pharm Aerosol Consortium",0,"2013","H4300"
"2916","Orthocare Innovations","Orthocare Innovations",0,"2007","H4100"
"2917","Orthocare Innovations","Orthocare Innovations",0,"2009","H4100"
"2918","Osmotica Pharmaceuticals","Osmotica Pharmaceuticals",150000,"2009","H4300"
"2919","Pdi Inc","Pdi Inc",10000,"2012","H4100"
"2920","Pharma Industry Labor Management Assn","Pharma Industry Labor Management Assn",430000,"2011","H4300"
"2921","PharmAthene Inc","Pharmathene Inc",876953,"2010","H4500"
"2922","Cyberkinetics Neurotechnology Systems","Cyberkinetics Neurotechnology Systems",40000,"2007","H4500"
"2923","Cyberkinetics Neurotechnology Systems","Cyberkinetics Neurotechnology Systems",10000,"2009","H4500"
"2924","Dey LP","Dey LP",40000,"2001","H4100"
"2925","Council for American Medical Innovation","Council for American Medical Innovation",640000,"2010","H4000"
"2926","Consortium for Plant Biotech Research","Consortium for Plant Biotech Research",20000,"1998","H4500"
"2927","Council on Radionuclides & Radiopharm","Council on Radionuclides & Radiopharm",240000,"1998","H4300"
"2928","Consortium for Plant Biotech Research","Consortium for Plant Biotech Research",60000,"2007","H4500"
"2929","Cochlear Corp","Cochlear Corp",40000,"2000","H4100"
"2930","Cold Spring Harbor Laboratory","Cold Spring Harbor Laboratory",40000,"2002","H4500"
"2931","Coloplast Corp","Coloplast Corp",0,"2001","H4100"
"2932","Consortium for Plant Biotech Research","Consortium for Plant Biotech Research",0,"2001","H4500"
"2933","Consortium for Plant Biotech Research","Consortium for Plant Biotech Research",10000,"2015","H4500"
"2934","Molecular Insight Pharmaceuticals","Molecular Insight Pharmaceuticals",0,"2005","H4300"
"2935","Momenta Pharmaceuticals","Momenta Pharmaceuticals",3e+05,"2016","H4300"
"2936","Morton Grove Pharmaceuticals Inc","Morton Grove Pharmaceuticals Inc",120000,"2008","H4300"
"2937","Nanotherapeutics Inc","Nanotherapeutics Inc",2e+05,"2009","H4300"
"2938","Healthcare Nutrition Council","Healthcare Nutrition Council",40000,"2016","H4100"
"2939","National Alliance for Infusion Therapy","National Alliance for Infusion Therapy",120000,"2002","H4100"
"2940","National Alliance for Infusion Therapy","National Alliance for Infusion Therapy",1e+05,"2005","H4100"
"2941","Gordian Medical Inc","Gordian Medical Inc",130000,"2015","H4100"
"2942","Graceway Pharmaceuticals","Graceway Pharmaceuticals",90000,"2008","H4300"
"2943","Psychemedics Corp","Psychemedics Corp",36000,"2001","H4500"
"2944","Pulmatrix Corp","Pulmatrix Corp",65000,"2010","H4300"
"2945","Constellation Technology","Constellation Technology",30000,"1998","H4100"
"2946","Council for American Medical Innovation","Council for American Medical Innovation",30000,"2009","H4000"
"2947","Council on Radionuclides & Radiopharm","Council on Radionuclides & Radiopharm",480000,"2006","H4300"
"2948","Council on Radionuclides & Radiopharm","Council on Radionuclides & Radiopharm",4e+05,"2007","H4300"
"2949","Council on Radionuclides & Radiopharm","Council on Radionuclides & Radiopharm",150000,"2016","H4300"
"2950","Covance Inc","Covance Inc",40000,"2004","H4500"
"2951","Covance Inc","Covance Inc",80000,"2010","H4500"
"2952","Covance Inc","Covance Inc",80000,"2011","H4500"
"2953","North American Rescue Products","North American Rescue Products",80000,"2008","H4000"
"2954","KwikMed","KwikMed",49500,"2010","H4400"
"2955","Masimo Corp","Masimo Corp",0,"2011","H4100"
"2956","Medical Imaging Contrast Agent Assn","Medical Imaging Contrast Agent Assn",2e+05,"2004","H4100"
"2957","Michigan Biotechnology Institute","Michigan Biotechnology Institute",275000,"2000","H4500"
"2958","Michigan Biotechnology Institute","Michigan Biotechnology Institute",275000,"2002","H4500"
"2959","Fate Therapeutics","Fate Therapeutics",80000,"2011","H4500"
"2960","Exoxemis Inc","Exoxemis Inc",140000,"2005","H4500"
"2961","MedImpact Healthcare Systems Inc","MedImpact Healthcare Systems Inc",2e+05,"2009","H4000"
"2962","Mentor Corp","Mentor Corp",180000,"2008","H4100"
"2963","Microban International","Microban International",60000,"2008","H4500"
"2964","Molnlycke Health Care","Molnlycke Health Care",0,"2007","H4100"
"2965","IOGEN Corp","IOGEN Corp",130000,"2002","H4500"
"2966","IOGEN Corp","IOGEN Corp",160000,"2005","H4500"
"2967","Jackson Laboratory","Jackson Laboratory",0,"2001","H4500"
"2968","Lannett Co","Lannett Co",0,"2012","H4400"
"2969","Lifecell Corp","Lifecell Corp",40000,"1998","H4100"
"2970","Luminex Corp","Luminex Corp",60000,"2016","H4500"
"2971","Lundbeck Inc","Lundbeck Inc",50000,"2008","H4300"
"2972","Lundbeck Inc","Lundbeck Inc",320000,"2015","H4300"
"2973","Plasma Protein Therapeutics Assn","Plasma Protein Therapeutics Assn",458000,"2013","H4500"
"2974","Questcor Pharmaceuticals","Questcor Pharmaceuticals",240000,"2009","H4300"
"2975","Edge Therapeutics Inc","Edge Therapeutics Inc",50000,"2011","H4300"
"2976","Medical Imaging Contrast Agent Assn","Medical Imaging Contrast Agent Assn",180000,"2000","H4100"
"2977","Medical Imaging Contrast Agent Assn","Medical Imaging Contrast Agent Assn",2e+05,"2002","H4100"
"2978","Medical Imaging Contrast Agent Assn","Medical Imaging Contrast Agent Assn",2e+05,"2003","H4100"
"2979","CyberKnife Coalition","CyberKnife Coalition",0,"2007","H4100"
"2980","CyberKnife Coalition","CyberKnife Coalition",30000,"2011","H4100"
"2981","Cyberonics Inc","Cyberonics Inc",1e+05,"2011","H4100"
"2982","Ension Inc","Ension Inc",20000,"2007","H4100"
"2983","Natl Cltn of Pharmaceutical Distributors","Natl Cltn of Pharmaceutical Distributors",15000,"2006","H4400"
"2984","Neuralstem","Neuralstem",120000,"2013","H4500"
"2985","DME Coalition","DME Coalition",80000,"2010","H4100"
"2986","DME Coalition","DME Coalition",0,"2011","H4100"
"2987","Edge Therapeutics Inc","Edge Therapeutics Inc",70000,"2016","H4300"
"2988","Novo Nordisk Pharmaceuticals","Novo Nordisk Pharmaceuticals",6e+05,"2006","H4300"
"2989","Novo Nordisk Pharmaceuticals","Novo Nordisk Pharmaceuticals",960000,"2007","H4300"
"2990","HemCon Medical Technologies","HemCon Medical Technologies",40000,"2003","H4100"
"2991","I-Flow Corp","I-Flow Corp",80000,"2009","H4100"
"2992","Rhodia Inc","Rhodia Inc",0,"1998","H4300"
"2993","Redfield Corp","Redfield Corp",30000,"2009","H4100"
"2994","Research Corporation Technologies","Research Corporation Technologies",80000,"1998","H4500"
"2995","ResMed Inc","ResMed Inc",0,"2001","H4100"
"2996","ResMed Inc","ResMed Inc",20000,"2016","H4100"
"2997","Michigan Biotechnology Institute","Michigan Biotechnology Institute",275000,"2005","H4500"
"2998","Millennium Laboratories","Millennium Laboratories",120000,"2013","H4300"
"2999","MRE-Holding AS","MRE-Holding AS",40000,"2005","H4500"
"3000","Coalition for Plant & Life Science","Coalition for Plant & Life Science",160000,"2004","H4500"
"3001","Coalition for Plant & Life Science","Coalition for Plant & Life Science",150000,"2007","H4500"
"3002","Martek Biosciences","Martek Biosciences",20000,"2002","H4300"
"3003","Martek Biosciences","Martek Biosciences",60000,"2005","H4300"
"3004","Medical Device Manufacturers Assn","Medical Device Manufacturers Assn",2e+05,"2003","H4100"
"3005","Medical Device Manufacturers Assn","Medical Device Manufacturers Assn",360000,"2012","H4100"
"3006","Medical Device Manufacturers Assn","Medical Device Manufacturers Assn",520000,"2013","H4100"
"3007","CyberKnife Coalition","CyberKnife Coalition",1e+05,"2003","H4100"
"3008","Council for American Medical Innovation","Council for American Medical Innovation",10000,"2012","H4000"
"3009","Genomatica","Genomatica",80000,"2010","H4500"
"3010","Constellation Technology","Constellation Technology",20000,"2003","H4100"
"3011","Constellation Technology","Constellation Technology",40000,"2005","H4100"
"3012","Council on Radionuclides & Radiopharm","Council on Radionuclides & Radiopharm",280000,"2001","H4300"
"3013","Cyberkinetics Neurotechnology Systems","Cyberkinetics Neurotechnology Systems",0,"2006","H4500"
"3014","Cyberonics Inc","Cyberonics Inc",440000,"2005","H4100"
"3015","Delcath Systems","Delcath Systems",10000,"2013","H4100"
"3016","Medicines for Malaria Venture","Medicines for Malaria Venture",80000,"2009","H4400"
"3017","Millennium Laboratories","Millennium Laboratories",120000,"2010","H4300"
"3018","Millennium Laboratories","Millennium Laboratories",120000,"2011","H4300"
"3019","Millennium/Takeda Oncology Co","Millennium/Takeda Oncology Co",1280000,"2010","H4300"
"3020","Minnesota Thermal Science","Minnesota Thermal Science",140000,"2006","H4100"
"3021","Missouri Biotechnology Assn","Missouri Biotechnology Assn",0,"2008","H4500"
"3022","S&S Technology","S&S Technology",50000,"2009","H4100"
"3023","Safe Life Corp","Triosyn Corp",20000,"2012","H4500"
"3024","North American Rescue Products","North American Rescue Products",10000,"2013","H4000"
"3025","Novation","Novation",50000,"2006","H4000"
"3026","Novavax Inc","Novavax Inc",120000,"2010","H4300"
"3027","Genencor International","Genencor International",160000,"2000","H4500"
"3028","Genencor International","Genencor International",140000,"2002","H4500"
"3029","Genomic Health Inc","Genomic Health Inc",330000,"2014","H4500"
"3030","GeoVax Labs","GeoVax Labs",5000,"2016","H4500"
"3031","Idaho Technologies","Idaho Technologies",0,"2010","H4500"
"3032","International Pharm Aerosol Consortium","International Pharm Aerosol Consortium",40000,"2010","H4300"
"3033","International Pharm Aerosol Consortium","International Pharm Aerosol Consortium",20000,"2011","H4300"
"3034","Embria Health Sciences","Embria Health Sciences",92800,"2010","H4500"
"3035","Orasure Technologies","Orasure Technologies",108000,"2007","H4100"
"3036","OSI Pharmaceuticals","OSI Eyetech",240000,"2006","H4300"
"3037","Osmotica Pharmaceuticals","Osmotica Pharmaceuticals",140000,"2010","H4300"
"3038","Patton Medical Devices","Patton Medical Devices",206000,"2010","H4100"
"3039","Pdi Inc","Pdi Inc",0,"2001","H4100"
"3040","Pharmathene Inc","Pharmathene Inc",0,"2002","H4500"
"3041","Hayes Inc","Hayes Inc",90000,"2009","H4100"
"3042","Health Industry Distributors Assn","Health Industry Distributors Assn",0,"2001","H4100"
"3043","HealthStar","HealthStar",110000,"2010","H4100"
"3044","HealthStar","HealthStar",10000,"2011","H4100"
"3045","Nestle SA","Alcon Laboratories",220000,"2003","H4000"
"3046","Reckitt Benckiser Inc","Reckitt Benckiser Pharmaceuticals",40000,"2001","H4300"
"3047","Bayer AG","Bayer Healthcare",230000,"2005","H4000"
"3048","Bayer AG","Medrad Inc",160000,"2009","H4100"
"3049","Nabi Biopharmaceuticals","Nabi Biopharmaceuticals",137000,"2005","H4500"
"3050","Nanotherapeutics Inc","Nanotherapeutics Inc",30000,"2013","H4300"
"3051","National Alliance for Infusion Therapy","National Alliance for Infusion Therapy",70000,"2009","H4100"
"3052","National Center for Genome Resources","National Center for Genome Resources",55000,"2011","H4300"
"3053","National Disease Research Interchange","National Disease Research Interchange",50000,"2010","H4100"
"3054","National Disease Research Interchange","National Disease Research Interchange",20000,"2016","H4100"
"3055","Michigan Biotechnology Institute","Michigan Biotechnology Institute",120000,"2009","H4500"
"3056","Minnesota Thermal Science","Minnesota Thermal Science",70000,"2005","H4100"
"3057","Missouri Biotechnology Assn","Missouri Biotechnology Assn",20000,"2011","H4500"
"3058","Molnlycke Health Care","Molnlycke Health Care",0,"1999","H4100"
"3059","Momenta Pharmaceuticals","Momenta Pharmaceuticals",220000,"2009","H4300"
"3060","MRE-Holding AS","MRE-Holding AS",30000,"2009","H4500"
"3061","Electro Medical Systems","Electro Medical Systems",70000,"2009","H4100"
"3062","Safe Life Corp","Triosyn Corp",173000,"2006","H4500"
"3063","Safe Life Corp","Triosyn Corp",128000,"2007","H4500"
"3064","Semprus BioSciences","Semprus BioSciences",52099,"2011","H4100"
"3065","SIGA Technologies","SIGA Technologies",40000,"2008","H4300"
"3066","SIGA Technologies","SIGA Technologies",160000,"2015","H4300"
"3067","Health Industry Distributors Assn","Health Industry Distributors Assn",40000,"2000","H4100"
"3068","Matritech","Matritech",60000,"2006","H4500"
"3069","Matritech","Matritech",70000,"2007","H4500"
"3070","Medicines for Malaria Venture","Medicines for Malaria Venture",120000,"2011","H4400"
"3071","MedImpact Healthcare Systems Inc","MedImpact Healthcare Systems Inc",90000,"2004","H4000"
"3072","Onconova Therapeutics","Onconova Therapeutics",20000,"2000","H4300"
"3073","Onconova Therapeutics","Onconova Therapeutics",165000,"2003","H4300"
"3074","Onconova Therapeutics","Onconova Therapeutics",10000,"2012","H4300"
"3075","Orasure Technologies","Orasure Technologies",67000,"2006","H4100"
"3076","Osiris Therapeutics","Osiris Therapeutics",80000,"2007","H4300"
"3077","Nephron Pharmaceutical Corp","Nephron Pharmaceutical Corp",20000,"2009","H4300"
"3078","SIGA Technologies","SIGA Technologies",160000,"2010","H4300"
"3079","SIGA Technologies","SIGA Technologies",120000,"2016","H4300"
"3080","Momenta Pharmaceuticals","Momenta Pharmaceuticals",270000,"2013","H4300"
"3081","Healthcare Nutrition Council","Healthcare Nutrition Council",120000,"2013","H4100"
"3082","National Alliance for Infusion Therapy","National Alliance for Infusion Therapy",160000,"2001","H4100"
"3083","Pharmathene Inc","Pharmathene Inc",238000,"2004","H4500"
"3084","PharmAthene Inc","Pharmathene Inc",863003,"2011","H4500"
"3085","Endocare Inc","Endocare Inc",140000,"2009","H4100"
"3086","STB Corp","STB Corp",120000,"2009","H4000"
"3087","Intl Partnership for Microbicides","Intl Partnership for Microbicides",40000,"2016","H4500"
"3088","IOGEN Corp","IOGEN Corp",70130,"2004","H4500"
"3089","IOGEN Corp","IOGEN Corp",70000,"2011","H4500"
"3090","Jarrow Formulas","Jarrow Formulas",80000,"2010","H4400"
"3091","Plasma Protein Therapeutics Assn","Plasma Protein Therapeutics Assn",345000,"2008","H4500"
"3092","Plasma Protein Therapeutics Assn","Plasma Protein Therapeutics Assn",147057,"2015","H4500"
"3093","CoDa Therapeutics","CoDa Therapeutics",2e+05,"2010","H4300"
"3094","Coloplast Corp","Coloplast Corp",0,"2005","H4100"
"3095","Natl Assn Public Health Stat & Info Syst","Natl Assn Public Health Stat & Info Syst",20000,"2009","H4500"
"3096","Natl Assn Public Health Stat & Info Syst","Natl Assn Public Health Stat & Info Syst",30000,"2016","H4500"
"3097","Natl Coalition For Assistive/Rehab Tech","Natl Coalition For Assistive/Rehab Tech",50000,"2006","H4100"
"3098","Natl Coalition For Assistive/Rehab Tech","Natl Coalition For Assistive/Rehab Tech",235000,"2007","H4100"
"3099","Natl Coalition For Assistive/Rehab Tech","Natl Coalition For Assistive/Rehab Tech",195000,"2016","H4100"
"3100","Novation","Novation",95500,"2007","H4000"
"3101","Nuero Kinetics","Nuero Kinetics",50000,"2010","H4100"
"3102","OSI Pharmaceuticals","OSI Pharmaceuticals",130000,"2005","H4300"
"3103","Osiris Therapeutics","Osiris Therapeutics",30000,"2014","H4300"
"3104","Pdi Inc","Pdi Inc",120000,"2010","H4100"
"3105","Lifeblood Medical","Lifeblood Medical",40000,"2005","H4500"
"3106","Lion-Vallen Industries","Lion-Vallen Industries",0,"2012","H4100"
"3107","Luminex Corp","Luminex Corp",80000,"2014","H4500"
"3108","Lundbeck Inc","Lundbeck Inc",927000,"2011","H4300"
"3109","Djo Inc","Djo Inc",38355,"2006","H4100"
"3110","Djo Inc","Djo Inc",170000,"2007","H4100"
"3111","Djo Inc","Djo Inc",240000,"2009","H4100"
"3112","Electro Medical Systems","Electro Medical Systems",120000,"2010","H4100"
"3113","Cyberonics Inc","Cyberonics Inc",140000,"2004","H4100"
"3114","Cyberonics Inc","Cyberonics Inc",69000,"2010","H4100"
"3115","Djo Inc","Djo Inc",190000,"2008","H4100"
"3116","Stowers Institute for Medical Research","Stowers Institute for Medical Research",170000,"2008","H4500"
"3117","Taraxos","Taraxos",30000,"2009","H4300"
"3118","Nabi Biopharmaceuticals","Nabi Biopharmaceuticals",15000,"2009","H4500"
"3119","Novavax Inc","Novavax Inc",20000,"2005","H4300"
"3120","Onconova Therapeutics","Onconova Therapeutics",1e+05,"2009","H4300"
"3121","Orasure Technologies","Orasure Technologies",280000,"2003","H4100"
"3122","Delcath Systems","Delcath Systems",40000,"2011","H4100"
"3123","Dispensing Solutions","Dispensing Solutions",40000,"2009","H4100"
"3124","Pulmatrix Corp","Pulmatrix Corp",60000,"2008","H4300"
"3125","Questcor Pharmaceuticals","Questcor Pharmaceuticals",110000,"2011","H4300"
"3126","Fuller Rehab Independent Living Aids","Fuller Rehab Independent Living Aids",80000,"2006","H4100"
"3127","Fuller Rehab Independent Living Aids","Fuller Rehab Independent Living Aids",20000,"2007","H4100"
"3128","Masimo Corp","Masimo Corp",0,"2012","H4100"
"3129","Medicago","Medicago",0,"2009","H4500"
"3130","Medical Device Manufacturers Assn","Medical Device Manufacturers Assn",90000,"1998","H4100"
"3131","Mendel Biotechnology","Mendel Biotechnology",120000,"2010","H4500"
"3132","Incitor Llc","Incitor Llc",70000,"2008","H4500"
"3133","Inovio AS","Inovio AS",40000,"2009","H4500"
"3134","International Pharm Aerosol Consortium","International Pharm Aerosol Consortium",80000,"2006","H4300"
"3135","Intl Partnership for Microbicides","Intl Partnership for Microbicides",80000,"2007","H4500"
"3136","Intl Partnership for Microbicides","Intl Partnership for Microbicides",80000,"2009","H4500"
"3137","IVIVI Technologies","Ivivi Technologies",70000,"2008","H4100"
"3138","Jackson Laboratory","Jackson Laboratory",60000,"2008","H4500"
"3139","Panflu","Panflu",230000,"2010","H4300"
"3140","Pdi Inc","Pdi Inc",120000,"2011","H4100"
"3141","Prasco Labs","Prasco Labs",880000,"2011","H4300"
"3142","National Center for Genome Resources","National Center for Genome Resources",10000,"2014","H4300"
"3143","National Disease Research Interchange","National Disease Research Interchange",40000,"2008","H4100"
"3144","National Disease Research Interchange","National Disease Research Interchange",120000,"2014","H4100"
"3145","Djo Inc","Djo Inc",240000,"2010","H4100"
"3146","Djo Inc","Djo Inc",240000,"2011","H4100"
"3147","Djo Inc","Djo Inc",140000,"2016","H4100"
"3148","Health Industry Distributors Assn","Health Industry Distributors Assn",1e+05,"1999","H4100"
"3149","Human Genome Sciences","Human Genome Sciences",130000,"2011","H4500"
"3150","Implicit Corp","Implicit Corp",120000,"2008","H4300"
"3151","Tethys Bioscience","Tethys Bioscience",20000,"2007","H4500"
"3152","Tethys Bioscience","Tethys Bioscience",90000,"2011","H4500"
"3153","Life Technologies Corp","Invitrogen Corp",640000,"2007","H4500"
"3154","Life Technologies Corp","Life Technologies Corp",60000,"2016","H4500"
"3155","Philips","Philips Healthcare",220000,"2014","H4100"
"3156","Philips Electronics","Philips Medical Systems",60000,"2001","H4100"
"3157","Eisai Co Ltd","Eisai Inc",2110000,"2015","H4300"
"3158","Association for Quality Imaging","Association for Quality Imaging",264000,"2008","H4100"
"3159","Talecris Biotherapeutics","Talecris Biotherapeutics",2950000,"2009","H4500"
"3160","Neuralstem","Neuralstem",120000,"2010","H4500"
"3161","Neuralstem","Neuralstem",60000,"2011","H4500"
"3162","Neuralstem","Neuralstem",20000,"2016","H4500"
"3163","North American Rescue Products","North American Rescue Products",40000,"2007","H4000"
"3164","North American Rescue Products","North American Rescue Products",160000,"2009","H4000"
"3165","Pennslyvania Biotechnology Assn","Pennslyvania Biotechnology Assn",25000,"2008","H4500"
"3166","Pittsburgh Life Sciences Greenhouse","Pittsburgh Life Sciences Greenhouse",160000,"2005","H4000"
"3167","Tethys Bioscience","Tethys Bioscience",70000,"2008","H4500"
"3168","Consortium for Plant Biotech Research","Consortium for Plant Biotech Research",106000,"2008","H4500"
"3169","Council on Radionuclides & Radiopharm","Council on Radionuclides & Radiopharm",360000,"2010","H4300"
"3170","Council on Radionuclides & Radiopharm","Council on Radionuclides & Radiopharm",360000,"2011","H4300"
"3171","Endocare Inc","Endocare Inc",2e+05,"2003","H4100"
"3172","Exoxemis Inc","Exoxemis Inc",110000,"2004","H4500"
"3173","Therapure Biopharma Inc","Therapure Biopharma Inc",30000,"2012","H4500"
"3174","Michigan Biotechnology Institute","Michigan Biotechnology Institute",325000,"2001","H4500"
"3175","Millennium Laboratories","Millennium Laboratories",142000,"2015","H4300"
"3176","Mobilex USA","Mobilex USA",130000,"2016","H4100"
"3177","Morphotek Inc","Morphotek Inc                           ",80000,"2009","H4500"
"3178","Morton Grove Pharmaceuticals Inc","Morton Grove Pharmaceuticals Inc",80000,"2006","H4300"
"3179","Pittsburgh Life Sciences Greenhouse","Pittsburgh Life Sciences Greenhouse",10000,"2008","H4000"
"3180","Pittsburgh Life Sciences Greenhouse","Pittsburgh Life Sciences Greenhouse",40000,"2011","H4000"
"3181","Plasma Protein Therapeutics Assn","Plasma Protein Therapeutics Assn",254349,"2014","H4500"
"3182","Redfield Corp","Redfield Corp",30000,"2011","H4100"
"3183","Salix Pharmaceuticals","Salix Pharmaceuticals",80000,"2012","H4300"
"3184","Novavax Inc","Novavax Inc",55000,"2014","H4300"
"3185","Novavax Inc","Novavax Inc",40000,"2015","H4300"
"3186","Novavision Inc","Novavision Inc",0,"2006","H4100"
"3187","Novavision Inc","Novavision Inc",90000,"2009","H4100"
"3188","Novo Nordisk Pharmaceuticals","Novo Nordisk Pharmaceuticals",2340000,"2014","H4300"
"3189","Onconova Therapeutics","Onconova Therapeutics",160000,"2007","H4300"
"3190","Onconova Therapeutics","Onconova Therapeutics",20000,"2011","H4300"
"3191","Orasure Technologies","Orasure Technologies",40000,"2002","H4100"
"3192","Giner Inc","Giner Inc",40000,"2008","H4500"
"3193","Gordian Medical Inc","Gordian Medical Inc",130000,"2011","H4100"
"3194","Salix Pharmaceuticals","Salix Pharmaceuticals",69500,"2013","H4300"
"3195","Panflu","Panflu",1e+05,"2006","H4300"
"3196","Patton Medical Devices","Patton Medical Devices",1e+05,"2005","H4100"
"3197","Pharmathene Inc","Pharmathene Inc",20000,"2001","H4500"
"3198","Pharmathene Inc","Pharmathene Inc",0,"2015","H4500"
"3199","Promedtek Inc","Promedtek Inc",20000,"2011","H4100"
"3200","Pyng Medical","Pyng Medical",0,"2008","H4100"
"3201","Quality Electrodynamics","Quality Electrodynamics",50000,"2010","H4100"
"3202","Academy of Managed Care Pharmacies","Academy of Managed Care Pharmacies",220000,"2002","H4400"
"3203","Academy of Radiology Research","Academy of Radiology Research",220000,"2001","H4100"
"3204","Achaogen","Achaogen",132500,"2011","H4500"
"3205","Achaogen","Achaogen",130000,"2016","H4500"
"3206","Natl Cltn of Pharmaceutical Distributors","Natl Cltn of Pharmaceutical Distributors",145000,"2007","H4400"
"3207","Natl Cltn of Pharmaceutical Distributors","Natl Cltn of Pharmaceutical Distributors",102500,"2009","H4400"
"3208","Natl Coalition For Assistive/Rehab Tech","Natl Coalition For Assistive/Rehab Tech",125000,"2008","H4100"
"3209","Genencor International","Genencor International",190000,"2010","H4500"
"3210","Genencor International","Genencor International",0,"2011","H4500"
"3211","Genomic Health Inc","Genomic Health Inc",160000,"2006","H4500"
"3212","Advanced Life Sciences","Advanced Life Sciences",80000,"2008","H4300"
"3213","AeroCare Holdings","AeroCare Holdings",60000,"2007","H4200"
"3214","AeroCare Holdings","AeroCare Holdings",0,"2010","H4200"
"3215","Alatech Healthcare","Alatech Healthcare",40000,"2004","H4200"
"3216","Ikor Inc","Ikor Inc",40000,"2010","H4300"
"3217","Specialty & Biotech Distributors Assn","Specialty & Biotech Distributors Assn",240000,"2008","H4500"
"3218","STB Corp","STB Corp",40000,"2006","H4000"
"3219","Innovative Biotherapies","Innovative Biotherapies                 ",40000,"2006","H4500"
"3220","Innovative Biotherapies","Innovative Biotherapies                 ",0,"2009","H4500"
"3221","Research Corporation Technologies","Research Corporation Technologies",36000,"2010","H4500"
"3222","Research Corporation Technologies","Research Corporation Technologies",27000,"2016","H4500"
"3223","ResMed Inc","ResMed Inc",0,"2000","H4100"
"3224","Planet Biotechnology","Planet Biotechnology",60000,"2007","H4500"
"3225","Genomatica","Genomatica",50000,"2009","H4500"
"3226","GeoVax Labs","GeoVax Labs",60000,"2009","H4500"
"3227","Seniors Coalition","Seniors Coalition",9459355,"2002","H4300"
"3228","Cyberonics Inc","Cyberonics Inc",60000,"2015","H4100"
"3229","Neuralstem","Neuralstem",120000,"2009","H4500"
"3230","Medical Device Manufacturers Assn","Medical Device Manufacturers Assn",30000,"2001","H4100"
"3231","Medical Device Manufacturers Assn","Medical Device Manufacturers Assn",290000,"2008","H4100"
"3232","National Disease Research Interchange","National Disease Research Interchange",50000,"2012","H4100"
"3233","Romark Laboratories","Romark Laboratories",90000,"2016","H4300"
"3234","Vestara","Vestara",236000,"2007","H4100"
"3235","Vestara","Vestara",260000,"2008","H4100"
"3236","XDX Inc","XDX Inc",0,"2006","H4500"
"3237","XOMA","XOMA",210000,"2011","H4300"
"3238","Z-Medica","Z-Medica",80000,"2015","H4100"
"3239","Aldevron","Aldevron",40000,"2008","H4500"
"3240","Alfred Mann Foundation","Alfred Mann Foundation",320000,"2010","H4500"
"3241","Spacelabs Healthcare","Spacelabs Healthcare",36000,"2009","H4500"
"3242","Texas Biomedical Research Institute","Texas Biomedical Research Institute",120000,"2011","H4500"
"3243","Tethys Bioscience","Tethys Bioscience",190000,"2009","H4500"
"3244","Tetraphase Pharmaceuticals","Tetraphase Pharmaceuticals",60000,"2009","H4300"
"3245","Fate Therapeutics","Fate Therapeutics",80000,"2009","H4500"
"3246","FluGen Inc","FluGen Inc",0,"2012","H4500"
"3247","Romark Laboratories","Romark Laboratories",10000,"2010","H4300"
"3248","Safe Life Corp","Triosyn Corp",1e+05,"2008","H4500"
"3249","Wockhardt USA","Wockhardt USA",2e+05,"2015","H4300"
"3250","Hoana Medical","Hoana Medical",20000,"2004","H4100"
"3251","Hoana Medical","Hoana Medical",0,"2006","H4100"
"3252","Human Genome Sciences","Human Genome Sciences",4e+05,"2004","H4500"
"3253","Human Genome Sciences","Human Genome Sciences",60000,"2007","H4500"
"3254","Idaho Technologies","Idaho Technologies",120000,"2008","H4500"
"3255","Promedtek Inc","Promedtek Inc",0,"2012","H4100"
"3256","Promedtek Inc","Promedtek Inc",0,"2013","H4100"
"3257","Psychemedics Corp","Psychemedics Corp",40000,"2003","H4500"
